sale_price_sqr_foot,housing_units,gross_rent
366.02071153227644,378401.0,2817.285714285714
373.382197826477,379050.0,3031.8333333333335
204.58862288246596,376454.0,2318.4
590.7928388746803,382295.0,3739.0
576.7464881132382,379374.5,3080.3333333333335
452.6805909308441,378076.5,2698.8333333333335
394.42239878005887,378401.0,2817.285714285714
423.68792770158234,378401.0,2817.285714285714
487.2448860262576,376454.0,2250.5
587.5390673661739,377232.8,2472.0
665.9640415783227,378401.0,2817.285714285714
303.0041844084943,378076.5,2698.8333333333335
434.9917394452212,375480.5,2016.0
391.43437776742576,378401.0,2817.285714285714
502.59915555623616,378401.0,2780.25
642.2486706357391,378401.0,2817.285714285714
388.7659270023075,379050.0,3031.8333333333335
391.36253308010487,378401.0,2817.285714285714
455.83621223779153,377232.8,2472.0
321.84083657398736,374507.0,1781.5
623.8261775374349,378725.5,2899.5
639.3935574881156,377622.2,2601.4
449.5447622856192,378401.0,2817.285714285714
355.93282794805776,378401.0,2817.285714285714
170.62491987132685,377427.5,2489.0
367.8951440852775,377427.5,2509.0
384.7979281346047,379374.5,2960.0
397.67371473613446,378401.0,2817.285714285714
519.3856038526768,379861.25,3224.0
378.5943139613646,378401.0,2817.285714285714
413.66751546215943,378401.0,2817.285714285714
529.3841850673389,378401.0,2817.285714285714
409.95435219297514,377427.5,2555.1666666666665
478.2285530213679,377427.5,2555.1666666666665
539.237968878326,378401.0,2817.285714285714
583.7492694814548,378401.0,2817.285714285714
788.8448175872469,380348.0,3414.0
550.5103482917151,377427.5,2647.5
779.810842264425,375967.25,2155.25
566.1922135483312,377752.0,2663.6666666666665
418.9156225067234,377427.5,2555.1666666666665
523.4662013248023,379569.2,3173.4
458.2040944846015,378401.0,2817.285714285714
542.4429128151736,378401.0,2817.285714285714
411.646875881678,379179.8,2990.8
498.2697550078768,378401.0,2818.4
330.0973846552545,377103.0,2434.0
242.37095202049665,379374.5,2995.75
485.0270126111035,378401.0,2817.285714285714
473.90077331796317,378401.0,2817.285714285714
394.21903228550775,378401.0,2817.285714285714
689.5558168113664,378401.0,2817.285714285714
373.73285637176303,378401.0,2817.285714285714
336.172661037069,377427.5,2555.1666666666665
632.740453508577,378401.0,2817.285714285714
327.1139253464728,376454.0,2318.4
662.0136128276529,378401.0,2817.285714285714
675.3502120510033,378401.0,2817.285714285714
608.9832172374425,378401.0,2817.285714285714
170.2925485152069,380348.0,3528.0
650.1244791945729,375805.0,2099.0
570.2714266991686,378401.0,2817.285714285714
528.3183317138463,378725.5,2899.5
676.5065775293257,378401.0,2817.285714285714
469.39862649935156,378401.0,2817.285714285714
903.9932576720645,377427.5,2555.1666666666665
404.1501801622257,378401.0,2817.285714285714
301.46617997450267,381321.5,3657.0
498.4884848295011,376940.75,2515.5
307.5622009799607,377427.5,2555.1666666666665
533.7039354359513,376454.0,2250.5
687.0875745178322,382295.0,3959.0
576.709848378276,377427.5,2555.1666666666665
